Driver;0;0;0;10.9;0;74.20;2686;0;0;1
3-Wood;0;0;0;9.20;0;70.20;3655;0;0;1
5-Wood;0;0;0;9.40;0;67.56;4350;0;0;1
Hybrid;0;0;0;10.2;0;64.89;4437;0;0;1
3 Iron;0;0;0;10.4;0;63.11;4630;0;0;1
4 Iron;0;0;0;11.0;0;60.89;4836;0;0;1
5 Iron;0;0;0;14.1;0;58.67;5361;0;0;1
6 Iron;0;0;0;16.3;0;56.44;6231;0;0;1
7 Iron;0;0;0;18.1;0;51.11;7097;0;0;1
8 Iron;0;0;0;20.4;0;48.44;7998;0;0;1
9 Iron;0;0;0;24.2;0;45.33;8647;0;0;1
PW;0;0;0;24.2;0;45.33;9304;0;0;1

